Date,COVID_Patients,COVID_ICUPatients,Bed_Occupancy,Link,
2020-04-23,"3,639","1,155",61%,"https://web.archive.org/web/20200425015525/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-04-27,"2,974","1,037",60%,"https://web.archive.org/web/20200427234818/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-04-30,"2,690",942,63%,"https://web.archive.org/web/20200501151045/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-05-04,"2,253",793,62%,"https://web.archive.org/web/20200506005842/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-05-07,"1,955",729,64%,"https://web.archive.org/web/20200507215840/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-05-11,"1,685",667,61%,"https://web.archive.org/web/20200511202520/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-05-14,"1,605",636,64%,"https://web.archive.org/web/20200514215108/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-05-18,"1,288",467,62%,"https://web.archive.org/web/20200519003106/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-05-21,"1,315",465,68%,"https://web.archive.org/web/20200522025058/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-05-25,"1,211",434,62%,"https://web.archive.org/web/20200526213248/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-05-28,"1,223",404,68%,"https://web.archive.org/web/20200529005512/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-06-01,994,339,64%,"https://web.archive.org/web/20200602131241/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-06-04,864,315,69%,"https://web.archive.org/web/20200605233825/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-06-08,661,249,64%,"https://web.archive.org/web/20200608232417/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
